Date,Open,High,Low,Close,Adj Close,Volume
2023-03-06,2760.899902,2780.199951,2760.500000,2764.600098,2764.600098,0
2023-03-07,2764.800049,2766.899902,2719.300049,2724.800049,2724.800049,0
2023-03-08,2721.300049,2731.800049,2713.600098,2725.199951,2725.199951,0
2023-03-09,2725.399902,2741.199951,2687.000000,2691.199951,2691.199951,0
2023-03-10,2689.199951,2689.899902,2646.500000,2657.399902,2657.399902,0
2023-03-12,null,null,null,null,null,null
2023-03-13,2657.300049,2669.300049,2617.300049,2643.600098,2643.600098,0
2023-03-14,2643.000000,2684.000000,2633.399902,2674.399902,2674.399902,0
2023-03-15,2675.399902,2678.699951,2612.600098,2638.500000,2638.500000,0
2023-03-16,2638.500000,2679.600098,2625.100098,2678.000000,2678.000000,0
2023-03-17,2677.500000,2689.100098,2646.899902,2656.199951,2656.199951,0
2023-03-19,null,null,null,null,null,null
2023-03-20,2656.800049,2682.199951,2644.199951,2678.300049,2678.300049,0
2023-03-21,2679.100098,2715.000000,2677.600098,2711.800049,2711.800049,0
2023-03-22,2712.600098,2743.399902,2686.100098,2686.100098,2686.100098,0
2023-03-23,2690.399902,2726.000000,2680.699951,2696.899902,2696.899902,0
2023-03-24,2693.899902,2695.000000,2661.199951,2692.600098,2692.600098,0
2023-03-26,null,null,null,null,null,null
2023-03-27,2693.800049,2715.800049,2691.800049,2702.399902,2702.399902,0
2023-03-28,2703.800049,2710.899902,2696.500000,2704.800049,2704.800049,0
2023-03-29,2705.300049,2740.899902,2704.699951,2739.399902,2739.399902,0
2023-03-30,2740.199951,2763.100098,2737.800049,2759.699951,2759.699951,0
2023-03-31,2761.000000,2791.500000,2759.100098,2791.399902,2791.399902,0
2023-04-02,null,null,null,null,null,null
2023-04-03,2788.899902,2806.699951,2788.300049,2803.600098,2803.600098,0
2023-04-04,2804.699951,2813.399902,2789.500000,2796.800049,2796.800049,0
2023-04-05,2795.699951,2796.000000,2774.500000,2784.100098,2784.100098,0
2023-04-06,2782.500000,2791.500000,2770.600098,2790.100098,2790.100098,0
2023-04-09,null,null,null,null,null,null
2023-04-10,2790.399902,2790.600098,2769.000000,2786.199951,2786.199951,0
2023-04-11,2789.899902,2804.199951,2789.899902,2797.100098,2797.100098,0
2023-04-12,2798.199951,2818.399902,2794.000000,2795.500000,2795.500000,0
2023-04-13,2796.199951,2831.399902,2795.399902,2829.199951,2829.199951,0
2023-04-14,2830.199951,2841.199951,2811.899902,2825.800049,2825.800049,0
2023-04-16,null,null,null,null,null,null
2023-04-17,2824.199951,2828.399902,2814.300049,2827.199951,2827.199951,0
2023-04-18,2828.399902,2843.600098,2828.000000,2835.899902,2835.899902,0
2023-04-19,2836.399902,2837.000000,2823.800049,2833.399902,2833.399902,0
2023-04-20,2831.500000,2834.000000,2813.899902,2822.500000,2822.500000,0
2023-04-21,2821.000000,2826.600098,2811.899902,2823.100098,2823.100098,0
2023-04-23,null,null,null,null,null,null
2023-04-24,2825.100098,2829.800049,2814.500000,2826.899902,2826.899902,0
2023-04-25,2829.399902,2830.300049,2789.500000,2789.500000,2789.500000,0
2023-04-26,2788.800049,2795.800049,2775.600098,2779.699951,2779.699951,0
2023-04-27,2779.199951,2818.800049,2778.000000,2815.800049,2815.800049,0
2023-04-28,2819.000000,2835.899902,2810.600098,2835.899902,2835.899902,0
2023-04-30,null,null,null,null,null,null
2023-05-01,2835.600098,2841.600098,2830.699951,2833.600098,2833.600098,0
2023-05-02,2832.600098,2835.300049,2789.100098,2803.100098,2803.100098,0
2023-05-03,2804.500000,2823.600098,2796.300049,2796.300049,2796.300049,0
2023-05-04,2798.000000,2799.800049,2774.100098,2779.300049,2779.300049,0
2023-05-05,2780.399902,2828.600098,2779.500000,2822.000000,2822.000000,0
2023-05-07,null,null,null,null,null,null
2023-05-08,2822.399902,2828.699951,2820.300049,2827.399902,2827.399902,0
2023-05-09,2826.600098,2828.800049,2811.100098,2815.300049,2815.300049,0
2023-05-10,2815.500000,2832.399902,2803.800049,2822.600098,2822.600098,0
2023-05-11,2823.199951,2824.000000,2801.600098,2814.899902,2814.899902,0
2023-05-12,2814.500000,2821.199951,2796.199951,2809.399902,2809.399902,0
2023-05-14,null,null,null,null,null,null
2023-05-15,2808.699951,2822.600098,2805.699951,2819.500000,2819.500000,0
2023-05-16,2821.300049,2822.699951,2801.899902,2802.399902,2802.399902,0
2023-05-17,2802.300049,2825.000000,2797.300049,2820.899902,2820.899902,0
2023-05-18,2823.000000,2842.199951,2819.600098,2840.100098,2840.100098,0
2023-05-19,2841.300049,2854.800049,2840.000000,2842.800049,2842.800049,0
2023-05-21,null,null,null,null,null,null
2023-05-22,2845.300049,2853.500000,2840.399902,2845.699951,2845.699951,0
2023-05-23,2847.100098,2848.199951,2815.399902,2816.899902,2816.899902,0
2023-05-24,2815.600098,2816.500000,2782.600098,2788.800049,2788.800049,0
2023-05-25,2787.100098,2803.000000,2782.899902,2796.899902,2796.899902,0
2023-05-26,2796.399902,2832.600098,2796.300049,2827.899902,2827.899902,0
2023-05-28,null,null,null,null,null,null
2023-05-30,2829.600098,2842.800049,2818.399902,2825.600098,2825.600098,0
2023-05-31,2824.199951,2824.199951,2793.399902,2800.600098,2800.600098,0
2023-06-01,2803.699951,2839.300049,2803.399902,2831.699951,2831.699951,0
2023-06-02,2834.800049,2875.699951,2834.800049,2873.399902,2873.399902,0
2023-06-04,null,null,null,null,null,null
2023-06-05,2872.800049,2882.800049,2867.600098,2870.300049,2870.300049,0
2023-06-06,2869.500000,2880.500000,2865.100098,2878.000000,2878.000000,0
2023-06-07,2879.800049,2887.000000,2863.199951,2866.600098,2866.600098,0
2023-06-08,2866.100098,2884.500000,2864.000000,2882.100098,2882.100098,0
2023-06-09,2883.800049,2898.100098,2881.300049,2885.600098,2885.600098,0
2023-06-11,null,null,null,null,null,null
2023-06-12,2885.800049,2907.000000,2884.800049,2906.000000,2906.000000,0
2023-06-13,2907.699951,2932.800049,2907.399902,2929.699951,2929.699951,0
2023-06-14,2929.899902,2948.800049,2918.399902,2939.600098,2939.600098,0
2023-06-15,2937.399902,2974.699951,2931.800049,2966.399902,2966.399902,0
2023-06-16,2968.600098,2982.500000,2961.500000,2962.300049,2962.300049,0
2023-06-18,null,null,null,null,null,null
2023-06-20,2954.199951,2955.500000,2929.199951,2939.500000,2939.500000,0
2023-06-21,2939.899902,2941.300049,2923.800049,2927.699951,2927.699951,0
2023-06-22,2930.300049,2931.100098,2916.300049,2930.399902,2930.399902,0
2023-06-23,2931.199951,2931.300049,2899.800049,2902.300049,2902.300049,0
2023-06-25,null,null,null,null,null,null
2023-06-26,2903.399902,2911.500000,2894.600098,2894.899902,2894.899902,0
2023-06-27,2895.000000,2924.800049,2893.500000,2921.199951,2921.199951,0
2023-06-28,2922.699951,2932.600098,2917.199951,2924.899902,2924.899902,0
2023-06-29,2926.600098,2933.899902,2920.300049,2933.899902,2933.899902,0
2023-06-30,2932.199951,2970.699951,2930.500000,2966.699951,2966.699951,0
2023-07-02,null,null,null,null,null,null
2023-07-03,2967.699951,2972.399902,2966.399902,2972.000000,2972.000000,0
2023-07-05,2969.899902,2970.899902,2955.500000,2960.800049,2960.800049,0
2023-07-06,2958.800049,2958.899902,2910.399902,2924.600098,2924.600098,0
2023-07-07,2924.800049,2945.000000,2920.100098,2924.199951,2924.199951,0
