Datum;Eröffnung;Hoch;Tief;Schluss;Währung;Volumen
30.01.1970;94,25;94,25;94,25;94,25;Pkt.;0
27.02.1970;96,98;96,98;96,98;96,98;Pkt.;0
31.03.1970;97,07;97,07;97,07;97,07;Pkt.;0
30.04.1970;87,80;87,80;87,80;87,80;Pkt.;0
29.05.1970;82,06;82,06;82,06;82,06;Pkt.;0
30.06.1970;79,84;79,84;79,84;79,84;Pkt.;0
31.07.1970;84,59;84,59;84,59;84,59;Pkt.;0
31.08.1970;87,18;87,18;87,18;87,18;Pkt.;0
30.09.1970;89,79;89,79;89,79;89,79;Pkt.;0
30.10.1970;88,26;88,26;88,26;88,26;Pkt.;0
30.11.1970;90,04;90,04;90,04;90,04;Pkt.;0
31.12.1970;94,29;94,29;94,29;94,29;Pkt.;0
29.01.1971;98,42;98,42;98,42;98,42;Pkt.;0
26.02.1971;99,26;99,26;99,26;99,26;Pkt.;0
31.03.1971;103,41;103,41;103,41;103,41;Pkt.;0
30.04.1971;106,59;106,59;106,59;106,59;Pkt.;0
31.05.1971;103,86;103,86;103,86;103,86;Pkt.;0
30.06.1971;104,71;104,71;104,71;104,71;Pkt.;0
30.07.1971;102,84;102,84;102,84;102,84;Pkt.;0
31.08.1971;104,88;104,88;104,88;104,88;Pkt.;0
30.09.1971;103,68;103,68;103,68;103,68;Pkt.;0
29.10.1971;99,54;99,54;99,54;99,54;Pkt.;0
30.11.1971;100,18;100,18;100,18;100,18;Pkt.;0
31.12.1971;108,99;108,99;108,99;108,99;Pkt.;0
31.01.1972;112,77;112,77;112,77;112,77;Pkt.;0
29.02.1972;116,89;116,89;116,89;116,89;Pkt.;0
31.03.1972;118,30;118,30;118,30;118,30;Pkt.;0
28.04.1972;119,65;119,65;119,65;119,65;Pkt.;0
31.05.1972;121,88;121,88;121,88;121,88;Pkt.;0
30.06.1972;118,84;118,84;118,84;118,84;Pkt.;0
31.07.1972;120,47;120,47;120,47;120,47;Pkt.;0
31.08.1972;123,68;123,68;123,68;123,68;Pkt.;0
29.09.1972;121,59;121,59;121,59;121,59;Pkt.;0
31.10.1972;122,38;122,38;122,38;122,38;Pkt.;0
30.11.1972;128,59;128,59;128,59;128,59;Pkt.;0
29.12.1972;130,74;130,74;130,74;130,74;Pkt.;0
31.01.1973;130,82;130,82;130,82;130,82;Pkt.;0
28.02.1973;131,51;131,51;131,51;131,51;Pkt.;0
30.03.1973;131,48;131,48;131,48;131,48;Pkt.;0
30.04.1973;124,63;124,63;124,63;124,63;Pkt.;0
31.05.1973;124,05;124,05;124,05;124,05;Pkt.;0
29.06.1973;124,61;124,61;124,61;124,61;Pkt.;0
31.07.1973;127,35;127,35;127,35;127,35;Pkt.;0
31.08.1973;121,82;121,82;121,82;121,82;Pkt.;0
28.09.1973;125,11;125,11;125,11;125,11;Pkt.;0
31.10.1973;126,14;126,14;126,14;126,14;Pkt.;0
30.11.1973;109,55;109,55;109,55;109,55;Pkt.;0
31.12.1973;108,41;108,41;108,41;108,41;Pkt.;0
31.01.1974;109,01;109,01;109,01;109,01;Pkt.;0
28.02.1974;110,46;110,46;110,46;110,46;Pkt.;0
29.03.1974;107,42;107,42;107,42;107,42;Pkt.;0
30.04.1974;105,38;105,38;105,38;105,38;Pkt.;0
31.05.1974;100,89;100,89;100,89;100,89;Pkt.;0
28.06.1974;97,48;97,48;97,48;97,48;Pkt.;0
31.07.1974;91,46;91,46;91,46;91,46;Pkt.;0
30.08.1974;82,39;82,39;82,39;82,39;Pkt.;0
30.09.1974;74,45;74,45;74,45;74,45;Pkt.;0
31.10.1974;81,33;81,33;81,33;81,33;Pkt.;0
29.11.1974;79,81;79,81;79,81;79,81;Pkt.;0
31.12.1974;78,24;78,24;78,24;78,24;Pkt.;0
31.01.1975;89,40;89,40;89,40;89,40;Pkt.;0
28.02.1975;97,05;97,05;97,05;97,05;Pkt.;0
31.03.1975;97,51;97,51;97,51;97,51;Pkt.;0
30.04.1975;101,30;101,30;101,30;101,30;Pkt.;0
30.05.1975;103,45;103,45;103,45;103,45;Pkt.;0
30.06.1975;104,50;104,50;104,50;104,50;Pkt.;0
31.07.1975;98,48;98,48;98,48;98,48;Pkt.;0
29.08.1975;96,72;96,72;96,72;96,72;Pkt.;0
30.09.1975;92,43;92,43;92,43;92,43;Pkt.;0
31.10.1975;98,55;98,55;98,55;98,55;Pkt.;0
28.11.1975;101,01;101,01;101,01;101,01;Pkt.;0
31.12.1975;100,86;100,86;100,86;100,86;Pkt.;0
30.01.1976;109,64;109,64;109,64;109,64;Pkt.;0
27.02.1976;108,58;108,58;108,58;108,58;Pkt.;0
31.03.1976;109,62;109,62;109,62;109,62;Pkt.;0
30.04.1976;108,58;108,58;108,58;108,58;Pkt.;0
31.05.1976;106,53;106,53;106,53;106,53;Pkt.;0
30.06.1976;109,56;109,56;109,56;109,56;Pkt.;0
30.07.1976;108,29;108,29;108,29;108,29;Pkt.;0
31.08.1976;107,79;107,79;107,79;107,79;Pkt.;0
30.09.1976;108,44;108,44;108,44;108,44;Pkt.;0
29.10.1976;104,39;104,39;104,39;104,39;Pkt.;0
30.11.1976;103,72;103,72;103,72;103,72;Pkt.;0
31.12.1976;111,26;111,26;111,26;111,26;Pkt.;0
31.01.1977;107,26;107,26;107,26;107,26;Pkt.;0
28.02.1977;106,52;106,52;106,52;106,52;Pkt.;0
31.03.1977;105,58;105,58;105,58;105,58;Pkt.;0
29.04.1977;106,46;106,46;106,46;106,46;Pkt.;0
31.05.1977;104,73;104,73;104,73;104,73;Pkt.;0
30.06.1977;108,40;108,40;108,40;108,40;Pkt.;0
29.07.1977;106,66;106,66;106,66;106,66;Pkt.;0
31.08.1977;106,77;106,77;106,77;106,77;Pkt.;0
30.09.1977;107,81;107,81;107,81;107,81;Pkt.;0
31.10.1977;105,68;105,68;105,68;105,68;Pkt.;0
30.11.1977;106,71;106,71;106,71;106,71;Pkt.;0
30.12.1977;108,52;108,52;108,52;108,52;Pkt.;0
31.01.1978;105,02;105,02;105,02;105,02;Pkt.;0
28.02.1978;103,90;103,90;103,90;103,90;Pkt.;0
31.03.1978;108,28;108,28;108,28;108,28;Pkt.;0
28.04.1978;112,83;112,83;112,83;112,83;Pkt.;0
31.05.1978;113,93;113,93;113,93;113,93;Pkt.;0
30.06.1978;114,74;114,74;114,74;114,74;Pkt.;0
31.07.1978;122,68;122,68;122,68;122,68;Pkt.;0
31.08.1978;125,16;125,16;125,16;125,16;Pkt.;0
29.09.1978;126,27;126,27;126,27;126,27;Pkt.;0
31.10.1978;123,46;123,46;123,46;123,46;Pkt.;0
30.11.1978;118,76;118,76;118,76;118,76;Pkt.;0
29.12.1978;122,28;122,28;122,28;122,28;Pkt.;0
31.01.1979;125,06;125,06;125,06;125,06;Pkt.;0
28.02.1979;122,35;122,35;122,35;122,35;Pkt.;0
30.03.1979;127,07;127,07;127,07;127,07;Pkt.;0
30.04.1979;126,52;126,52;126,52;126,52;Pkt.;0
31.05.1979;123,96;123,96;123,96;123,96;Pkt.;0
29.06.1979;127,17;127,17;127,17;127,17;Pkt.;0
31.07.1979;127,75;127,75;127,75;127,75;Pkt.;0
31.08.1979;132,49;132,49;132,49;132,49;Pkt.;0
28.09.1979;135,08;135,08;135,08;135,08;Pkt.;0
31.10.1979;124,64;124,64;124,64;124,64;Pkt.;0
30.11.1979;128,08;128,08;128,08;128,08;Pkt.;0
31.12.1979;131,10;131,10;131,10;131,10;Pkt.;0
31.01.1980;138,59;138,59;138,59;138,59;Pkt.;0
29.02.1980;138,25;138,25;138,25;138,25;Pkt.;0
31.03.1980;122,96;122,96;122,96;122,96;Pkt.;0
30.04.1980;130,58;130,58;130,58;130,58;Pkt.;0
30.05.1980;136,57;136,57;136,57;136,57;Pkt.;0
30.06.1980;142,68;142,68;142,68;142,68;Pkt.;0
31.07.1980;146,63;146,63;146,63;146,63;Pkt.;0
29.08.1980;149,05;149,05;149,05;149,05;Pkt.;0
30.09.1980;153,09;153,09;153,09;153,09;Pkt.;0
31.10.1980;157,10;157,10;157,10;157,10;Pkt.;0
28.11.1980;163,23;163,23;163,23;163,23;Pkt.;0
31.12.1980;159,23;159,23;159,23;159,23;Pkt.;0
30.01.1981;154,16;154,16;154,16;154,16;Pkt.;0
27.02.1981;154,17;154,17;154,17;154,17;Pkt.;0
31.03.1981;159,20;159,20;159,20;159,20;Pkt.;0
30.04.1981;158,84;158,84;158,84;158,84;Pkt.;0
29.05.1981;155,30;155,30;155,30;155,30;Pkt.;0
30.06.1981;154,58;154,58;154,58;154,58;Pkt.;0
31.07.1981;151,51;151,51;151,51;151,51;Pkt.;0
31.08.1981;148,10;148,10;148,10;148,10;Pkt.;0
30.09.1981;136,53;136,53;136,53;136,53;Pkt.;0
30.10.1981;140,27;140,27;140,27;140,27;Pkt.;0
30.11.1981;150,25;150,25;150,25;150,25;Pkt.;0
31.12.1981;146,62;146,62;146,62;146,62;Pkt.;0
29.01.1982;144,02;144,02;144,02;144,02;Pkt.;0
26.02.1982;134,86;134,86;134,86;134,86;Pkt.;0
31.03.1982;130,75;130,75;130,75;130,75;Pkt.;0
30.04.1982;136,72;136,72;136,72;136,72;Pkt.;0
31.05.1982;132,83;132,83;132,83;132,83;Pkt.;0
30.06.1982;126,39;126,39;126,39;126,39;Pkt.;0
30.07.1982;124,34;124,34;124,34;124,34;Pkt.;0
31.08.1982;132,93;132,93;132,93;132,93;Pkt.;0
30.09.1982;133,11;133,11;133,11;133,11;Pkt.;0
29.10.1982;141,83;141,83;141,83;141,83;Pkt.;0
30.11.1982;148,92;148,92;148,92;148,92;Pkt.;0
31.12.1982;155,16;155,16;155,16;155,16;Pkt.;0
31.01.1983;158,03;158,03;158,03;158,03;Pkt.;0
28.02.1983;160,91;160,91;160,91;160,91;Pkt.;0
31.03.1983;166,14;166,14;166,14;166,14;Pkt.;0
29.04.1983;177,56;177,56;177,56;177,56;Pkt.;0
31.05.1983;175,38;175,38;175,38;175,38;Pkt.;0
30.06.1983;180,45;180,45;180,45;180,45;Pkt.;0
29.07.1983;176,80;176,80;176,80;176,80;Pkt.;0
31.08.1983;177,31;177,31;177,31;177,31;Pkt.;0
30.09.1983;180,47;180,47;180,47;180,47;Pkt.;0
31.10.1983;177,91;177,91;177,91;177,91;Pkt.;0
30.11.1983;182,06;182,06;182,06;182,06;Pkt.;0
30.12.1983;183,95;183,95;183,95;183,95;Pkt.;0
31.01.1984;185,04;185,04;185,04;185,04;Pkt.;0
29.02.1984;181,54;181,54;181,54;181,54;Pkt.;0
30.03.1984;189,61;189,61;189,61;189,61;Pkt.;0
30.04.1984;188,45;188,45;188,45;188,45;Pkt.;0
31.05.1984;173,85;173,85;173,85;173,85;Pkt.;0
29.06.1984;174,88;174,88;174,88;174,88;Pkt.;0
31.07.1984;168,27;168,27;168,27;168,27;Pkt.;0
31.08.1984;184,68;184,68;184,68;184,68;Pkt.;0
28.09.1984;183,52;183,52;183,52;183,52;Pkt.;0
31.10.1984;185,01;185,01;185,01;185,01;Pkt.;0
30.11.1984;183,85;183,85;183,85;183,85;Pkt.;0
31.12.1984;187,21;187,21;187,21;187,21;Pkt.;0
31.01.1985;197,06;197,06;197,06;197,06;Pkt.;0
28.02.1985;196,96;196,96;196,96;196,96;Pkt.;0
29.03.1985;203,30;203,30;203,30;203,30;Pkt.;0
30.04.1985;202,24;202,24;202,24;202,24;Pkt.;0
31.05.1985;212,13;212,13;212,13;212,13;Pkt.;0
28.06.1985;215,40;215,40;215,40;215,40;Pkt.;0
31.07.1985;219,31;219,31;219,31;219,31;Pkt.;0
30.08.1985;220,59;220,59;220,59;220,59;Pkt.;0
30.09.1985;221,70;221,70;221,70;221,70;Pkt.;0
31.10.1985;233,10;233,10;233,10;233,10;Pkt.;0
29.11.1985;245,57;245,57;245,57;245,57;Pkt.;0
31.12.1985;256,51;256,51;256,51;256,51;Pkt.;0
31.01.1986;259,75;259,75;259,75;259,75;Pkt.;0
28.02.1986;282,57;282,57;282,57;282,57;Pkt.;0
31.03.1986;309,60;309,60;309,60;309,60;Pkt.;0
30.04.1986;317,50;317,50;317,50;317,50;Pkt.;0
